janvier,As-sobh,Al-chourouq,Ad-dohr,Al-asr,Al-maghrib,Al-ichae
1,06:39,08:09,13:16,15:50,18:15,19:33
2,06:40,08:09,13:17,15:51,18:15,19:34
3,06:40,08:09,13:17,15:51,18:16,19:34
4,06:40,08:09,13:18,15:52,18:17,19:35
5,06:40,08:09,13:18,15:53,18:18,19:36
6,06:40,08:10,13:19,15:54,18:19,19:37
7,06:40,08:10,13:19,15:54,18:19,19:37
8,06:41,08:10,13:20,15:55,18:20,19:38
9,06:41,08:09,13:20,15:56,18:21,19:39
10,06:41,08:09,13:20,15:57,18:22,19:40
11,06:41,08:09,13:21,15:58,18:23,19:41
12,06:41,08:09,13:21,15:59,18:24,19:41
13,06:41,08:09,13:22,15:59,18:25,19:42
14,06:40,08:09,13:22,16:00,18:26,19:43
15,06:40,08:09,13:22,16:01,18:27,19:44
16,06:40,08:08,13:23,16:02,18:28,19:45
17,06:40,08:08,13:23,16:03,18:29,19:46
18,06:40,08:08,13:23,16:04,18:30,19:46
19,06:40,08:07,13:24,16:05,18:31,19:47
20,06:39,08:07,13:24,16:05,18:32,19:48
21,06:39,08:07,13:24,16:06,18:33,19:49
22,06:39,08:06,13:24,16:07,18:34,19:50
23,06:38,08:06,13:25,16:08,18:35,19:51
24,06:38,08:05,13:25,16:09,18:36,19:52
25,06:38,08:05,13:25,16:10,18:37,19:52
26,06:37,08:04,13:25,16:11,18:38,19:53
27,06:37,08:03,13:26,16:12,18:39,19:54
28,06:36,08:03,13:26,16:12,18:40,19:55
29,06:36,08:02,13:26,16:13,18:41,19:56
30,06:35,08:02,13:26,16:14,18:42,19:57
31,06:35,08:01,13:26,16:15,18:43,19:58
